,State_Name,City,Zip_Code,Mean,Median,Stdev,Lat,Lon
0,Alabama,Chickasaw,36611,38773,30506,33101,30.77145,-88.079697
1,Alabama,Louisville,36048,37725,19528,43789,31.708516,-85.611039
2,Alabama,Columbiana,35051,54606,31930,57348,33.191452,-86.615618
3,Alabama,Satsuma,36572,63919,52814,47707,30.874343,-88.009442
4,Alabama,Dauphin Island,36528,77948,67225,54270,30.250913,-88.171268
5,Alabama,Cullman,35057,50715,42643,35886,34.045414,-86.88267
6,Alabama,East Brewton,36426,33737,23610,28256,31.09144,-87.055345
7,Alabama,Coosada,36020,46319,40242,38941,32.544337,-86.336446
8,Alabama,Eva,35621,57994,39591,47235,34.326504,-86.765318
9,Alabama,Sylacauga,35151,54807,41712,51359,33.168097,-86.442774
10,Alabama,Rainsville,35986,47929,38947,44430,34.457329,-85.689447
11,Alabama,Gadsden,35901,42251,28811,41397,34.009563,-86.015643
12,Alabama,Georgiana,36033,27993,19757,27656,31.639134,-86.746762
13,Alabama,Rockford,35136,31229,22745,27452,33.060835,-86.052333
14,Alabama,Greensboro,36744,36439,21136,45043,32.700968,-87.5937
15,Alabama,Guin,35563,56934,39047,53934,33.944319,-87.870368
16,Alabama,Hartford,36344,41057,21608,45280,31.105348,-85.691225
17,Alabama,Helena,35080,93682,300000,55763,33.285635,-86.874488
18,Alabama,Hokes Bluff,35903,57202,46738,44401,33.989682,-85.862873
19,Alabama,Opp,36467,49699,34049,48287,31.238158,-86.325104
20,Alabama,Attalla,35954,51926,300000,28590,34.0372,-86.147175
21,Alabama,Millport,35576,44572,34725,36562,33.580891,-87.986179
22,Alabama,Section,35771,56029,31635,62581,34.545063,-86.09335
23,Alabama,Andalusia,36420,51098,43794,32431,31.24398,-86.46015
24,Alabama,Lockhart,36455,45465,36849,45634,31.013011,-86.350273
25,Alabama,Mcintosh,36553,67392,48713,54529,31.264957,-88.028369
26,Alabama,Maplesville,36750,43767,30427,38304,32.788282,-86.876651
27,Alabama,Fairfield,35064,48074,39817,37964,33.455197,-86.922633
28,Alabama,Mobile,36606,53330,38231,50855,30.668426,-88.100226
29,Alabama,Moulton,35650,42079,28180,39942,34.488302,-87.282707
30,Alabama,Muscle Shoals,35661,60729,49109,48170,34.743692,-87.633774
31,Alabama,Newbern,36765,32466,17389,31851,32.591672,-87.535614
32,Alabama,Northport,35476,62410,54115,47114,33.257975,-87.59647
33,Alabama,Opelika,36801,55199,40430,48856,32.660739,-85.37889
34,Alabama,Panola,35477,22603,6190,29054,32.946819,-88.262264
35,Alabama,Ozark,36867,86605,79218,52491,32.461669,-85.025021
36,Alabama,Deatsville,36022,63066,57698,41175,32.579539,-86.454318
37,Alabama,Prattville,36067,53597,39054,39602,32.461908,-86.457385
38,Alabama,Red Bay,35582,39220,29055,33077,34.436097,-88.136515
39,Alabama,Andalusia,36421,39218,25895,48015,31.352397,-86.544609
40,Alabama,Cleveland,35049,55127,44609,39231,33.992756,-86.500325
41,Alabama,Satsuma,36572,59567,52275,43545,30.854581,-88.109929
42,Alabama,Shelby,35143,63758,45844,53244,33.106882,-86.585403
43,Alabama,Smiths Station,36877,57098,45637,48651,32.534662,-85.111341
44,Alabama,Phil Campbell,35581,72297,300000,21067,34.39287,-87.729597
45,Alabama,Sumiton,35148,51907,39657,46146,33.749269,-87.046903
46,Alabama,Tallassee,36078,55849,50493,42845,32.532665,-85.891993
47,Alabama,Mobile,36619,55230,47636,45298,30.581533,-88.21278
48,Alabama,Tuscaloosa,35406,55815,38843,54867,33.234404,-87.5283
49,Alabama,Valley,36854,49554,39263,40901,32.828953,-85.169386
51,Alabama,Camp Hill,36850,71026,60438,56646,32.730078,-85.570999
52,Alabama,Cullman,35057,58314,49030,50015,34.23873,-86.964075
53,Alabama,Woodland,36280,48217,33446,42907,33.375627,-85.397439
54,Alabama,Wadley,36276,14741,11398,10903,33.091627,-85.527029
55,Alabama,Aliceville,35442,28347,20997,28311,33.123686,-88.159364
56,Alabama,Odenville,35120,242857,300000,25317,33.691576,-86.503766
57,Alabama,Auburn,36830,59694,38029,60946,32.607722,-85.489545
58,Alabama,Bayou La Batre,36509,50047,35147,43788,30.407586,-88.263271
59,Alabama,Bessemer,35022,41239,29150,38565,33.370789,-86.971596
60,Alabama,Boligee,35443,32777,12379,58584,32.7681,-88.028579
