State_Name,City,Zip_Code,Mean,Median,Stdev,Lat,Lon
Alabama,Chickasaw,36611,38773,30506,33101,30.77145,-88.079697
Alabama,Louisville,36048,37725,19528,43789,31.708516,-85.611039
Alabama,Columbiana,35051,54606,31930,57348,33.191452,-86.615618
Alabama,Satsuma,36572,63919,52814,47707,30.874343,-88.009442
Alabama,Dauphin Island,36528,77948,67225,54270,30.250913,-88.171268
Alabama,Cullman,35057,50715,42643,35886,34.045414,-86.88267
Alabama,East Brewton,36426,33737,23610,28256,31.09144,-87.055345
Alabama,Coosada,36020,46319,40242,38941,32.544337,-86.336446
Alabama,Eva,35621,57994,39591,47235,34.326504,-86.765318
Alabama,Sylacauga,35151,54807,41712,51359,33.168097,-86.442774
Alabama,Rainsville,35986,47929,38947,44430,34.457329,-85.689447
Alabama,Gadsden,35901,42251,28811,41397,34.009563,-86.015643
Alabama,Georgiana,36033,27993,19757,27656,31.639134,-86.746762
Alabama,Rockford,35136,31229,22745,27452,33.060835,-86.052333
Alabama,Greensboro,36744,36439,21136,45043,32.700968,-87.5937
Alabama,Guin,35563,56934,39047,53934,33.944319,-87.870368
Alabama,Hartford,36344,41057,21608,45280,31.105348,-85.691225
Alabama,Helena,35080,93682,300000,55763,33.285635,-86.874488
Alabama,Hokes Bluff,35903,57202,46738,44401,33.989682,-85.862873
Alabama,Opp,36467,49699,34049,48287,31.238158,-86.325104
Alabama,Attalla,35954,51926,300000,28590,34.0372,-86.147175
Alabama,Millport,35576,44572,34725,36562,33.580891,-87.986179
Alabama,Section,35771,56029,31635,62581,34.545063,-86.09335
Alabama,Andalusia,36420,51098,43794,32431,31.24398,-86.46015
Alabama,Lockhart,36455,45465,36849,45634,31.013011,-86.350273
Alabama,Mcintosh,36553,67392,48713,54529,31.264957,-88.028369
Alabama,Maplesville,36750,43767,30427,38304,32.788282,-86.876651
Alabama,Fairfield,35064,48074,39817,37964,33.455197,-86.922633
Alabama,Mobile,36606,53330,38231,50855,30.668426,-88.100226
Alabama,Moulton,35650,42079,28180,39942,34.488302,-87.282707
Alabama,Muscle Shoals,35661,60729,49109,48170,34.743692,-87.633774
Alabama,Newbern,36765,32466,17389,31851,32.591672,-87.535614
Alabama,Northport,35476,62410,54115,47114,33.257975,-87.59647
Alabama,Opelika,36801,55199,40430,48856,32.660739,-85.37889
Alabama,Panola,35477,22603,6190,29054,32.946819,-88.262264
Alabama,Ozark,36867,86605,79218,52491,32.461669,-85.025021
Alabama,Deatsville,36022,63066,57698,41175,32.579539,-86.454318
Alabama,Prattville,36067,53597,39054,39602,32.461908,-86.457385
Alabama,Red Bay,35582,39220,29055,33077,34.436097,-88.136515
Alabama,Andalusia,36421,39218,25895,48015,31.352397,-86.544609
Alabama,Cleveland,35049,55127,44609,39231,33.992756,-86.500325
Alabama,Shelby,35143,63758,45844,53244,33.106882,-86.585403
Alabama,Smiths Station,36877,57098,45637,48651,32.534662,-85.111341
Alabama,Phil Campbell,35581,72297,300000,21067,34.39287,-87.729597
Alabama,Sumiton,35148,51907,39657,46146,33.749269,-87.046903
Alabama,Tallassee,36078,55849,50493,42845,32.532665,-85.891993
Alabama,Mobile,36619,55230,47636,45298,30.581533,-88.21278
Alabama,Tuscaloosa,35406,55815,38843,54867,33.234404,-87.5283
Alabama,Valley,36854,49554,39263,40901,32.828953,-85.169386
Alabama,Camp Hill,36850,71026,60438,56646,32.730078,-85.570999
Alabama,Woodland,36280,48217,33446,42907,33.375627,-85.397439
Alabama,Wadley,36276,14741,11398,10903,33.091627,-85.527029
Alabama,Aliceville,35442,28347,20997,28311,33.123686,-88.159364
Alabama,Odenville,35120,242857,300000,25317,33.691576,-86.503766
Alabama,Auburn,36830,59694,38029,60946,32.607722,-85.489545
Alabama,Bayou La Batre,36509,50047,35147,43788,30.407586,-88.263271
Alabama,Bessemer,35022,41239,29150,38565,33.370789,-86.971596
Alabama,Boligee,35443,32777,12379,58584,32.7681,-88.028579
Alabama,Brilliant,35548,33353,25776,27149,34.025353,-87.769145
Alabama,Calera,35040,65576,64695,38729,33.122319,-86.745644
Alabama,Carrollton,35447,41709,27321,44007,33.261903,-88.095071
Alabama,Moody,35004,45862,32942,40674,33.5467968,-86.4306179
Alabama,Hoover,35242,90262,71401,66042,33.4073199,-86.7204009
Alabama,Chelsea,35043,78399,71839,54844,33.3567902,-86.6754096
Alabama,Maylene,35114,85122,75896,58979,33.2332362,-86.8499076
Alabama,Ohatchee,36271,66000,54091,47663,33.7687621,-86.0372827
Alabama,Talladega,35160,38882,27264,45128,33.4548311,-86.0680822
Alabama,Sylacauga,35150,40948,31044,36118,33.1485144,-86.2131565
Alabama,Dadeville,36853,48421,35722,44616,32.88789,-85.6951867
Alabama,Northport,35475,77977,74807,59517,33.3231423,-87.5661153
Alabama,Holt,35404,37965,29413,34880,33.2435354,-87.4825444
Alabama,Tuscaloosa,35401,24931,12361,34393,33.2031136,-87.5527647
Alabama,Nauvoo,35578,40072,29226,37412,33.9445989,-87.4646876
Alabama,Lanett,36863,35951,23009,38779,32.8580358,-85.2066713
Alabama,Millry,36558,48623,40342,41443,31.6256633,-88.3415656
Alabama,Arley,35541,49046,36818,42393,34.0964418,-87.2271905
Alabama,Elmore,36025,41464,35150,30951,32.4473511,-86.4768097
Alabama,Marbury,36051,59061,300000,36002,32.6385222,-86.5148731
