"state_name","avg","count","party"
"Alabama",42162.54095368469,4383,"Republican"
"Alabama",38772.14677103718,511,"Democrat"
"Alabama",39416.50537634409,186,"Unknown"
"Alabama",51753.0,2,"Independent"
"Alabama",16217.0,1,"Nonpartisan"
"Arizona",36263.0,7,"Unknown"
"Arizona",36263.0,6,"Democrat"
"Arizona",36263.0,5,"Republican"
"Arkansas",39523.143939393936,2244,"Republican"
"Arkansas",38675.752173913046,920,"Unknown"
"Arkansas",36009.2,20,"Democrat"
"Arkansas",17179.0,1,"Independent"
"Connecticut",59663.7829036635,1474,"Democrat"
"Connecticut",59548.12574850299,334,"Republican"
"Delaware",53999.93723849372,239,"Democrat"
"Delaware",54330.54644808743,183,"Republican"
"Delaware",54600.338345864664,133,"Unknown"
"District of Columbia",60209.35,100,"Democrat"
"District of Columbia",59520.90476190476,42,"Republican"
"District of Columbia",60970.26315789474,38,"Independent"
"District of Columbia",45752.0,5,"Unknown"
"Florida",45622.08638360176,5464,"Republican"
"Florida",45910.11008468052,1299,"Unknown"
"Florida",46057.4064,1250,"Democrat"
"Florida",53748.32558139535,129,"Nonpartisan"
"Georgia",44609.738264878455,4772,"Republican"
"Georgia",46975.947164948455,776,"Unknown"
"Georgia",42983.97887323944,142,"Democrat"
"Illinois",48067.86009174312,3924,"Democrat"
"Illinois",48407.28580481622,3156,"Unknown"
"Illinois",47495.62295081967,2745,"Republican"
"Illinois",58586.5,2,"Nonpartisan"
"Indiana",43700.596820809245,3460,"Republican"
"Indiana",43831.702429149795,494,"Democrat"
"Iowa",44324.03251161129,2799,"Republican"
"Iowa",44236.41747572816,824,"Democrat"
"Iowa",44924.4592760181,442,"Unknown"
"Iowa",67622.0,1,"Nonpartisan"
"Kansas",43128.88969320924,2901,"Republican"
"Kansas",41174.494505494506,91,"Democrat"
"Kansas",36675.78571428572,70,"Unknown"
"Kansas",59138.2,20,"Nonpartisan"
"Kentucky",40241.26279069767,2580,"Republican"
"Kentucky",39889.626626626625,999,"Unknown"
"Kentucky",39914.01547987616,646,"Democrat"
"Kentucky",27547.0,8,"Nonpartisan"
"Louisiana",45579.526411657556,2745,"Republican"
"Louisiana",44837.99393939394,330,"Democrat"
"Louisiana",40411.833333333336,24,"Unknown"
"Maine",47677.40243902439,656,"Republican"
"Maine",49719.60638297872,282,"Democrat"
"Maine",48590.67479674797,123,"Independent"
"Maine",44642.88679245283,53,"Unknown"
"Maine",39533.666666666664,3,"Nonpartisan"
"Maryland",58819.3078817734,1218,"Democrat"
"Maryland",56215.02383134739,1091,"Republican"
"Maryland",55782.4531835206,534,"Unknown"
"Massachusetts",57753.63357843137,1632,"Democrat"
"Massachusetts",58119.85263157895,950,"Republican"
"Massachusetts",61172.63888888889,72,"Nonpartisan"
"Massachusetts",56893.74418604651,43,"Unknown"
"Massachusetts",35620.0,3,"Independent"
"Michigan",43720.281523642734,4568,"Republican"
"Michigan",44560.648280337446,1541,"Unknown"
"Michigan",43113.695512820515,1248,"Democrat"
"Michigan",32773.47368421053,19,"Nonpartisan"
"Minnesota",47650.51802735184,2413,"Democrat"
"Minnesota",48811.15194109773,1494,"Nonpartisan"
"Minnesota",48230.544966442954,745,"Republican"
"Minnesota",59590.0,12,"Unknown"
"Mississippi",40068.43046357616,2114,"Republican"
"Mississippi",40751.89159891599,738,"Unknown"
"Mississippi",39168.34322033898,236,"Democrat"
"Missouri",40430.34050977481,4041,"Republican"
"Missouri",39823.1926910299,1505,"Democrat"
"Missouri",42473.854166666664,144,"Unknown"
"Missouri",41018.0,3,"Independent"
"Montana",45505.51734104046,692,"Republican"
"Montana",45567.87822878229,271,"Democrat"
"Montana",45063.06989247312,186,"Unknown"
"Montana",44129.083333333336,12,"Nonpartisan"
"Nebraska",42484.56048387097,1736,"Republican"
"Nebraska",43097.78778135048,622,"Unknown"
"Nebraska",59122.0,5,"Democrat"
"Nebraska",59122.0,1,"Independent"
"New Hampshire",54712.28112449799,747,"Republican"
"New Hampshire",53652.62923351159,561,"Democrat"
"New Jersey",61827.8618670341,2903,"Republican"
"New Jersey",60010.18677204659,2404,"Democrat"
"New Jersey",60156.30434782609,253,"Unknown"
"New York",54921.03319209039,5664,"Democrat"
"New York",53946.24928774929,2106,"Republican"
"New York",54862.7883324729,1937,"Unknown"
"New York",65567.9696969697,33,"unknown"
"New York",47997.57142857143,7,"Democrat/Republican"
"New York",40176.5,6,"Nonpartisan"
"North Carolina",43497.9366827254,4359,"Republican"
"North Carolina",43954.41910546659,1811,"Democrat"
"North Carolina",43152.21706864564,1617,"Unknown"
"North Dakota",47613.96428571428,1428,"Republican"
"North Dakota",45665.18823529412,255,"Nonpartisan"
"North Dakota",47613.96428571428,84,"Democrat"
"Ohio",43126.194017517766,6051,"Republican"
"Ohio",42987.25784334095,4813,"Nonpartisan"
"Ohio",43319.25266048747,2913,"Unknown"
"Ohio",41257.55375552283,1358,"Democrat"
"Oklahoma",41896.11788953009,1213,"Republican"
"Oklahoma",40065.074468085106,94,"Democrat"
"Pennsylvania",45179.00348027842,5172,"Democrat"
"Pennsylvania",44908.563322156304,3877,"Republican"
"Pennsylvania",43588.48419979613,981,"Unknown"
"Pennsylvania",45883.53246753247,77,"Democrat/Republican"
"Pennsylvania",39013.63636363637,11,"Independent"
"Rhode Island",52888.10059171598,338,"Democrat"
"Rhode Island",52952.91111111111,90,"Republican"
"South Carolina",41958.47119123365,2829,"Republican"
"South Carolina",42356.57201646091,729,"Unknown"
"South Carolina",40516.92105263158,38,"Democrat"
"South Carolina",71246.0,2,"Nonpartisan"
"South Dakota",41290.93158313445,1257,"Republican"
"South Dakota",43644.366120218576,183,"Unknown"
"South Dakota",44655.6875,16,"Democrat"
"Tennessee",42461.47684729064,2030,"Unknown"
"Tennessee",42577.573288058855,1767,"Republican"
"Tennessee",35189.41860465116,43,"Democrat"
"Tennessee",33029.88461538462,26,"Independent"
"Texas",50972.59137254902,1275,"Republican"
"Texas",34694.333333333336,3,"Democrat"
"Vermont",47601.93212669683,442,"Democrat"
"Vermont",47154.148148148146,189,"Republican"
"Vermont",47527.40983606558,183,"Unknown"
"Vermont",47732.433333333334,60,"Independent"
"Virginia",51743.49297188755,1992,"Democrat"
"Virginia",51583.248120300756,931,"Republican"
"Virginia",53992.688829787236,376,"Unknown"
"Virginia",47698.07865168539,178,"Independent"
"Virginia",68912.0,6,"Nonpartisan"
"West Virginia",41507.846483704976,1166,"Republican"
"West Virginia",41331.65906623236,921,"Unknown"
"West Virginia",41565.98562628337,487,"Democrat"
"West Virginia",31378.0,16,"Nonpartisan"
"Wisconsin",46015.05628517824,2665,"Republican"
"Wisconsin",45827.74590163934,1342,"Unknown"
"Wisconsin",46019.41391941392,819,"Democrat"
"Wisconsin",45960.1388101983,353,"Nonpartisan"
